
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:23:40,431,11.0,130.070,0.00,109,54,71
10/17/2015 03:23:45,74,11.1,128.690,0.00,100,53,71
10/17/2015 03:23:50,276,11.0,127.310,0.00,100,52,69
10/17/2015 03:23:55,57,11.1,125.970,0.00,108,55,71
10/17/2015 03:24:00,255,11.1,124.610,0.00,98,54,70
10/17/2015 03:24:05,55,11.1,123.160,0.00,97,53,71
10/17/2015 03:24:10,315,11.1,121.830,0.00,98,52,70
10/17/2015 03:24:15,490,10.9,120.480,0.00,97,52,70
10/17/2015 03:24:20,171,11.1,119.160,0.00,95,56,69
10/17/2015 03:24:25,246,11.1,117.840,0.00,102,50,72
10/17/2015 03:24:30,255,11.0,116.460,0.00,99,53,70
10/17/2015 03:24:35,388,11.0,115.080,0.00,95,54,69
10/17/2015 03:24:40,139,11.1,113.790,0.00,98,54,69
10/17/2015 03:24:45,384,11.1,112.380,0.00,97,54,71
10/17/2015 03:24:50,68,11.1,110.980,0.00,97,52,70
10/17/2015 03:24:55,362,11.0,109.670,0.00,96,54,68
10/17/2015 03:25:00,199,11.0,108.280,0.00,96,55,69
10/17/2015 03:25:05,43,11.1,106.890,0.00,121,52,70
10/17/2015 03:25:10,449,11.0,105.560,0.00,93,53,68
10/17/2015 03:25:15,0,11.2,104.120,0.00,87,56,71
10/17/2015 03:25:20,411,11.0,102.680,0.00,86,54,67
10/17/2015 03:25:25,155,11.1,101.300,0.00,94,55,68
10/17/2015 03:25:30,220,11.1,99.960,0.00,84,56,68
10/17/2015 03:25:35,178,11.1,98.580,0.00,83,55,69
10/17/2015 03:25:40,2,11.2,97.250,0.00,81,55,69
10/17/2015 03:25:45,338,11.0,95.850,0.00,87,56,67
10/17/2015 03:25:50,261,11.1,94.530,0.00,83,54,69
10/17/2015 03:25:55,124,11.1,93.140,0.00,84,54,67
10/17/2015 03:26:00,0,11.2,91.780,0.00,86,56,69
10/17/2015 03:26:05,339,11.0,90.450,0.00,87,57,70
10/17/2015 03:26:10,0,11.1,88.940,0.00,89,58,70
10/17/2015 03:26:15,279,11.1,87.600,0.00,90,59,69
10/17/2015 03:26:20,293,11.0,86.180,0.00,93,58,66
10/17/2015 03:26:25,240,11.1,84.790,0.00,98,58,66
10/17/2015 03:26:30,95,11.1,83.440,0.00,94,58,68
10/17/2015 03:26:35,280,11.0,82.100,0.00,95,63,68
10/17/2015 03:26:40,21,11.2,80.620,0.00,93,60,69
10/17/2015 03:26:45,124,11.1,79.290,0.00,97,58,71
10/17/2015 03:26:50,438,11.0,77.910,0.00,94,59,69
10/17/2015 03:26:55,0,11.2,76.430,0.00,99,59,68
10/17/2015 03:27:00,456,11.0,75.060,0.00,102,56,70
10/17/2015 03:27:05,59,11.1,73.750,0.00,94,58,68
10/17/2015 03:27:10,424,10.9,72.230,0.00,126,60,69
10/17/2015 03:27:15,14,11.2,70.970,0.00,92,60,72
10/17/2015 03:27:20,219,11.0,69.610,0.00,93,59,71
10/17/2015 03:27:25,537,11.0,68.170,0.00,93,61,70
10/17/2015 03:27:30,0,11.2,66.740,0.00,96,65,71
10/17/2015 03:27:35,428,11.0,65.430,0.00,89,68,69
10/17/2015 03:27:40,23,11.2,63.990,0.00,88,67,72
10/17/2015 03:27:45,248,11.1,62.570,0.00,89,68,67
10/17/2015 03:27:50,1,11.2,61.260,0.00,87,65,71
10/17/2015 03:27:55,388,11.0,59.800,0.00,96,75,68
10/17/2015 03:28:00,31,11.1,58.360,0.00,115,69,68
10/17/2015 03:28:05,321,11.0,57.070,0.00,94,73,71
10/17/2015 03:28:10,0,11.2,55.660,0.00,90,72,70
